CreatedOn,CreatedBy,ModifiedOn,ModifiedBy,Enabled,SortOrder,ForestFunctionalLevel
37:41.0,atester,37:41.2,atester,1,1,Windows Server 2016
37:53.0,atester,37:53.3,atester,1,2,Windows Server 2012R2
38:12.0,atester,38:12.1,atester,1,3,Windows Server 2012
38:44.0,atester,38:44.4,atester,1,4,Windows Server 2008R2
39:13.0,atester,39:13.4,atester,1,5,Windows Server 2008
39:24.0,atester,40:12.0,atester,0,6,Windows Server 2003
39:58.0,atester,39:58.5,atester,0,7,Windows 2000
