DataTypeName,SQLDataType,
String (10),VARCHAR(10),
String (50),VARCHAR(50),
String (150),VARCHAR(150),
String (250),VARCHAR(250),
Boolean,BIT,
Number,INT,
Date Time,DATETIME,
String (500),VARCHAR(500),
String (1000),VARCHAR(1000),
String (5000),VARCHAR(5000),
